Fast A,Fast B,Slow A,Slow B
87,0,606,633
96,0,606,624
95,0,630,613
97,0,634,600
97,0,617,596
100,0,609,554
105,0,599,534
111,0,576,532
128,0,552,523
136,0,539,518
140,0,541,509
141,0,561,501
152,0,554,505
149,0,562,512
151,0,576,520
144,0,586,523
153,0,575,537
139,0,599,544
126,0,627,546
114,0,647,541
117,0,656,536
98,0,703,543
93,0,725,543
95,0,740,538
86,0,744,520
68,0,737,524
60,0,711,515
54,0,693,505
42,0,667,478
41,0,644,481
45,0,625,491
46,0,600,491
46,0,594,501
45,0,557,531
43,0,551,548
40,0,542,545
43,0,525,555
43,0,487,561
40,0,479,556
41,0,458,555
39,0,449,540
35,0,449,544
32,0,456,555
38,0,457,558
36,0,454,561
37,0,445,597
39,0,449,591
40,0,414,593
38,0,393,610
43,0,396,635
47,0,398,651
43,0,385,681
47,0,393,670
51,0,412,685
57,0,414,685
57,0,420,665
59,0,443,641
56,0,465,660
55,0,487,641
51,0,481,634
45,0,498,642
42,0,489,654
40,0,497,644
36,0,486,633
32,0,487,629
32,0,472,614
35,0,474,614
35,0,458,608
32,0,449,637
25,0,449,631
21,0,461,642
17,0,459,637
16,0,481,633
13,0,490,613
13,0,515,604
15,0,516,581
18,0,526,563
21,0,522,536
25,0,517,509
25,0,501,487
24,0,507,470
21,0,503,461
20,0,510,458
23,0,542,462
23,0,575,464
21,0,613,472
20,0,659,460
17,0,673,457
14,0,688,458
15,0,684,468
15,0,690,458
17,0,690,483
18,0,729,493
19,0,745,484
21,0,783,476
24,0,794,494
28,0,801,505
30,0,797,514
29,0,807,534
26,0,805,561
24,0,813,567
21,0,843,573
22,0,826,592
23,0,822,588
22,0,823,588
20,0,812,606
17,0,785,607
15,0,802,608
14,0,781,630
17,0,765,646
20,0,758,641
19,0,748,663
18,0,747,662
14,0,758,664
12,0,768,667
9,0,772,666
7,0,779,661
6,0,776,664
8,0,778,670
8,0,774,658
8,0,764,682
10,0,737,663
9,0,714,668
7,0,693,653
8,0,668,638
8,0,647,617
8,0,635,616
7,0,611,601
7,0,590,623
6,0,577,644
3,0,578,656
2,0,606,642
1,0,634,650
1,0,653,618
1,0,674,596
1,0,673,586
0,0,659,608
0,0,664,610
1,0,686,601
1,0,695,575
1,0,710,537
2,0,737,510
2,0,759,481
1,0,754,463
1,0,757,465
2,0,771,459
1,0,771,475
2,0,776,490
2,0,784,523
2,0,769,534
1,0,760,552
1,0,741,548
0,0,726,545
0,0,721,543
0,0,730,544
0,0,702,537
0,0,685,536
0,0,658,525
0,0,634,514
0,0,592,527
0,0,574,536
0,0,551,543
0,0,513,552
0,0,465,554
0,0,449,562
0,0,432,575
0,0,409,588
0,0,407,580
0,0,408,595
0,0,415,571
0,0,412,559
0,0,432,538
0,0,426,553
0,0,416,527
0,0,412,532
0,0,423,545
0,0,403,546
0,0,397,541
0,0,417,550
0,0,409,544
0,0,410,541
0,0,421,546
0,0,441,547
0,0,414,568
0,0,410,603
0,0,400,593
0,0,405,600
0,0,390,613
0,0,411,596
0,0,429,578
0,0,444,603
0,0,445,596
0,0,446,591
0,0,447,594
0,0,441,602
0,0,453,607
0,0,468,615
0,0,494,633
0,0,493,658
0,0,510,674
0,0,513,664
0,0,516,687
0,0,522,677
0,0,542,661
0,0,542,664
0,0,537,692
0,0,542,697
0,0,563,727
0,0,577,755
0,0,597,756
0,0,620,734
0,0,629,724
0,0,631,719
0,0,664,726
0,0,697,708
0,0,727,718
0,0,758,720
0,0,783,718
0,0,778,692
0,0,761,695
0,0,762,702
